__20160929_17402,495.311,saw
__20160929_17402,499.71,scratch
__20160929_17402,512.004,turn
__20160929_17402,559.237,play
__20160929_17402,560.017,play
__20160929_17402,566.599,come
__20160929_17402,567.193,play
__20160929_17402,577.239,fall
__20160929_17402,579.579,say
__20160929_17402,970.375,say
__20160929_17402,971.903,go
__20160929_17402,973.244,go
__20160929_17402,974.679,go
__20160929_17402,979.484,go
__20160929_17402,981.948,make
__20160929_17402,982.603,make
__20160929_17402,988.875,walk
__20160929_17402,989.842,make
__20160929_17402,996.581,say
__20160929_17402,998.265,go
__20160929_17402,1000.231,go
__20160929_17402,1001.448,eat
__20160929_17402,1003.384,eat
__20160929_17402,1009.03,give
__20160929_17402,1037.982,give
__20160929_17402,1060.258,feed
__20160929_17402,1070.148,feel
__20160929_17402,1094.203,eat
__20160929_17402,1097.041,come
__20160929_17402,1097.946,come
__20160929_17402,1099.163,sit
__20160929_17402,1141.187,tap
__20160929_17402,1145.774,saw
__20160929_17402,1175.1,hang
__20160929_17402,1183.212,put
__20160929_17402,1185.396,fit
__20160929_17402,1191.948,wear
__20160929_17402,1195.317,squeeze
